,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa
405,406,Kab. Hulu Sungai Utara,Kalimantan Selatan,Area 4,Kalimantan,5/214,4954,20854,65.59,226474,892.7,457931491,9527.0,2877000.0,14.72,113205.0,92481,164489.0,164118.0,130.0
406,407,Kab. Sorong Selatan,Papua Barat,Area 4,Malpua,2/121,1915,40807,62.42,52216,6594.31,440060850,6286.0,3184225.0,8.71,23812.1943,14114,21187.0,24862.0,11.0
407,408,Kab. Mamasa,Sulawesi Barat,Area 4,Sulawesi,13/168,2974,18364,66.02,163130,3005.88,495966812,7747.0,2571328.0,21.86,76514.7768,23944,119834.0,82427.0,15.0
408,409,Kab. Boalemo,Gorontalo,Area 4,Sulawesi,-/82,5413,32406,65.91,145615,1521.88,428873901,8789.0,2788826.0,31.63,75454.0,50312,106742.0,106742.0,40.0
409,410,Kota Pontianak,Kalimantan Barat,Area 4,Kalimantan,29/-,38932,60205,79.44,657658,107.8,661544956,14465.0,2515000.0,30.7,261653.0,430597,541674.0,541674.0,662.0
410,411,Kab. Kotawaringin Barat,Kalimantan Tengah,Area 4,Kalimantan,13/81,19335,61790,72.87,270135,10759.0,604341284,13109.0,3047533.0,11.46,166183.0,151633,176562.0,222670.0,371.0
411,412,Kab. Manokwari,Papua Barat,Area 4,Malpua,9/164,10078,57532,72.01,192410,3186.28,501716434,12207.0,3516000.0,35.92,85225.2156,102397,125556.0,144052.0,125.0
412,413,Kota Kendari,Sulawesi Tenggara,Area 4,Sulawesi,64/-,22245,56628,83.53,345341,300.89,643432736,14335.0,1885078.0,17.46,171426.0,219138,245677.0,165550.5,420.0
413,414,Kab. Poso,Sulawesi Tengah,Area 4,Sulawesi,28/141,9506,37075,71.28,244622,7112.25,685769750,8936.0,2390739.0,40.2,147614.0,98784,142206.0,190665.0,159.0
414,415,Kab. Teluk Wondama,Papua Barat,Area 4,Malpua,1/75,1563,48053,60.21,41391,3959.53,426228683,8219.0,3184225.0,10.22,15049.0525,17670,22540.0,26226.0,8.0
415,416,Kab. Waropen,Papua,Area 4,Malpua,-/100,2048,64974,64.94,33690,10977.09,533813787,6732.0,3516700.0,9.44,13182.0,9939,16255.0,18127.0,7.0
416,417,Kab. Kolaka Timur,Sulawesi Tenggara,Area 4,Sulawesi,16/117,4427,22953,67.02,120446,3634.74,384572762,7727.0,1822158.0,26.38,99937.0,53767,71042.0,165550.5,33.0
417,418,Kab. Sanggau,Kalimantan Barat,Area 4,Kalimantan,16/390,19271,40982,65.77,485070,12857.8,750488162,8245.0,2515262.0,21.16,10202.0,186282,295821.0,295821.0,296.0
418,419,Kab. Buru Selatan,Maluku,Area 4,Malpua,0/79,1406,22205,64.69,75157,3780.56,405165999,7566.0,4200279.0,10.07,30160.0,10730,23789.0,41846.0,9.0
419,420,Kab. Buton,Sulawesi Tenggara,Area 4,Sulawesi,95,3806,37087,65.98,114954,1212.99,401791686,7307.0,1603404.0,13.68,42654.0,35943,57723.0,165550.5,76.0
420,421,Kab. Wajo,Sulawesi Selatan,Area 4,Sulawesi,48/142,19839,49870,69.15,379313,2056.2,681631121,12386.0,3103800.0,27.69,183804.0,165210,235547.0,312995.0,274.0
421,422,Kab. Pulau Morotai,Maluku Utara,Area 4,Malpua,0/88,1533,22782,62.5,74183,2476.0,365535460,6290.0,4200479.0,4.43,36639.7056,15280,35524.0,15280.0,16.0
422,423,Kab. Kutai Kartanegara,Kalimantan Timur,Area 4,Kalimantan,44/193,162739,207015,73.59,728355,23601.91,452961957,10720.0,3179673.0,58.42,377924.0,394732,494728.0,579299.0,697.0
