ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
90;Kota Pariaman;Sumatera Barat;Area 1;Sumbagteng;16/55;5008;56591;76.9;93971;66.13;391516784;12796;2519099;3.66;43339;53387;58701;80316;89
91;Kab. Tapanuli Tengah;Sumatera Utara;Area 1;Sumbagut;56/159;9957;26434;69.23;365411;2188;614127615;10071;2830884;47.19;185218;101565;157296;253694;164
92;Kota Pekanbaru;Riau;Area 1;Sumbagteng;83/-;119112;104177;81.32;982329;632.27;818435221;14433;2997976;30.4;514200;666545;699331;840314;1408
93;Kab. Simeulue;Aceh;Area 1;Sumbagut;-/138;2216;23765;66.03;92612;2051.48;423660373;7085;4200479;17.34;36589;40844;40844;57729;40
94;Kab. Batu Bara;Sumatera Utara;Area 1;Sumbagut;10/141;34048;81749;68.36;410912;922.2;568210636;10410;3191571;49.78;208595;135370;205682;295023;261
95;Kab. Muaro Jambi;Jambi;Area 1;Sumbagsel;5/150;24403;55041;69.18;402251;5326;631350550;8556;0;17.3;184465;165790;279486;279486;342
96;Kab. Musi Rawas;Sumatera Selatan;Area 1;Sumbagsel;13/186;19077;47241;66.79;395804;6350.1;600180128;9520;3144446;54.95;208596;107381;196685;259865;172
97;Kota Langsa;Aceh;Area 1;Sumbagut;-/66;5302;29986;77.17;185718;262.41;416834350;12057;4200479;18.65;76830;115846;115846;143133;118
98;Kab. Aceh Tenggara;Aceh;Area 1;Sumbagut;-/385;4945;22840;69.37;220607;4231.43;550538893;8020;4200479;28.98;92626;49297;89863;122990;52
99;Kota Pematang Siantar;;Area 1;Sumbagut;53/-;13933;54572;78.75;268001;55.66;569499118;12372;2501519;21.23;137927;131927;174297;223081;250
100;Kab. Bungo;Jambi;Area 1;Sumbagsel;12/141;18047;48156;69.92;362597;4659;602613586;11471;0;22.07;167075;141959;255781;255781;244
101;Kab. Karo;Sumatera Utara;Area 1;Sumbagut;10/259;20585;49497;74.43;405232;2127;694659836;12349;3070354;36.57;262029;142172;222336;303949;259
102;Kota Solok;Sumatera Barat;Area 1;Sumbagteng;13/-;4050;57040;78.29;73185;71.29;377778817;12117;3019506;1.99;31142;26360;31127;38107;61
103;Kab. Kepulauan Mentawai;Sumatera Barat;Area 1;Sumbagteng;-/43;4644;50463;61.09;87370;6011.35;557853377;6281;2326013;13.37;48621;16844;27913;38416;11
104;Kab. Ogan Komering Ilir;Sumatera Selatan;Area 1;Sumbagsel;13/314;29148;35126;66.82;768321;18359.04;978571504;10725;3144446;123.34;386545;215629;400818;534824;550
105;Kab. Sarolangun;Jambi;Area 1;Sumbagsel;9/149;15356;50865;69.86;289794;6184;539027521;11616;0;25.79;135156;108246;207615;207615;119
106;Kab. Aceh Barat;Aceh;Area 1;Sumbagut;-/322;7998;38066;71.38;198483;2927.95;556256963;9641;4200479;39.06;85855;73043;110949;127571;114
107;Kab. Pidie;Aceh;Area 1;Sumbagut;-/730;10564;23740;70.63;435509;3086.95;842069723;9816;4200479;86.39;185832;213802;213802;255996;232
108;Kab. Belitung;Bangka Belitung;Area 1;Sumbagsel;7/42;9870;51994;72.51;181826;2293.61;463002382;13554;0;12.07;82200;96279;125770;144562;223
109;Kab. Empat Lawang;Sumatera Selatan;Area 1;Sumbagsel;9/147;4995;19964;65.25;333856;2256.44;402951186;9350;3144446;31.89;134147;63540;152854;218498;79
