,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa,log_PDRB,log_PDRB_Per_Kapita,log_Indeks_Pembangunan_Manusia,log_Dana_Alokasi_Umum,log_Pengeluaran_Riil_per_Kapita_ per_Tahun,log_Nilai_UMR,log_Jumlah_Penduduk_Miskin,log_Jumlah_Penduduk_Bekerja,log_Pengguna_Internet,log_Pemilik_Ponsel,log_Pengguna_Ponsel,log_Jumlah_Penduduk,Area_encode,Regional_Encode
196,197,Kab. Sidoarjo,Jawa Timur,Area 3,Jatim,31/322,204022,90697,80.29,2083928,634.38,1157958587,14168.0,4193581.0,127.05,1120482.0,444781,1462667.0,1619250.0,1636.0,12.225988011569141,11.41529058514346,4.398023007758481,20.86992445379972,9.558811758564227,15.249065819287203,4.852420812645534,13.929270400309722,13.005339553473775,14.195772723285762,14.297474254614835,14.549765612177142,3,9
197,198,Kota Semarang,Jawa Tengah,Area 3,Jateng,177/-,191547,105587,83.05,1654651,373.78,1194313031,15550.0,2715000.0,79.58,925963.0,1170767,1161548.0,1310122.0,1761.0,12.162893708936203,11.56730000743356,4.431411859854625,20.90083698841032,9.651880224221337,14.81430287967423,4.389250479763201,13.738590635982742,13.973170501687367,13.96526501713014,14.08563158389942,14.319101272779742,3,10
198,199,Kab. Pasuruan,Jawa Timur,Area 3,Jatim,24/341,145920,89665,68.6,1607096,1474.02,1120144764,9933.0,4190133.0,151.43,829988.0,139524,822733.0,942049.0,726.0,11.890820658354851,11.403846934943989,4.242764567340374,20.83672376836506,9.203718495667296,15.248243272293863,5.026705474273751,13.629167726672911,11.845999075656634,13.620388219639889,13.755813630706147,14.289940003818973,3,9
199,200,Kab. Gresik,Jawa Timur,Area 3,Jatim,26/330,139044,105907,76.11,1310188,1191.25,890343102,12845.0,4197030.0,164.05,633270.0,184574,801682.0,973506.0,807.0,11.842552900727211,11.570326071701333,4.345232973844869,20.607117455389727,9.460787757817737,15.249887928516708,5.106248458299202,13.358653729572257,12.125811163927366,13.594468546866711,13.788660294318102,14.085681959579885,3,9
200,201,Kab. Cilacap,Jawa Tengah,Area 3,Jateng,15/269,114194,66119,69.95,1945984,2124.47,1295279562,10639.0,2158327.0,198.6,807407.0,940906,157028.0,1077515.0,855.0,11.645662792408423,11.09922655193496,4.261975403606051,20.981992387563924,9.272375762895635,14.584844405836241,5.296315363877364,13.601584395699673,13.75459958265259,11.964185780648826,13.890168950037728,14.481278833579161,3,10
201,202,Kab. Kudus,Jawa Tengah,Area 3,Jateng,9/123,110514,126837,75.0,848157,425.15,764591304,11318.0,2218451.95,64.24,483983.0,482340,527535.0,625288.0,458.0,11.612906537333542,11.750665960631407,4.330733340286331,20.45485200720273,9.33423800863242,14.612320641552769,4.178072777752813,13.089807127301107,13.086406611774267,13.175972388449173,13.345969221844603,13.6508222181732,3,10
202,203,Kab. Malang,Jawa Timur,Area 3,Jatim,12/378,103760,39813,70.36,2655575,3530.65,1592832074,9844.0,3018530.0,265.56,1386930.0,318425,1484577.0,82022.0,1239.0,11.549845456569173,10.591973888213879,4.267737488271754,21.188779448005224,9.194718991073225,14.920280847167538,5.585599358978478,14.1426039504027,12.671145387909965,14.210641114749372,11.314754974721918,14.792172138280655,3,9
203,204,Kab. Banyuwangi,Jawa Timur,Area 3,Jatim,28/189,83607,51801,70.62,1709241,5782.4,1322509373,7892.0,2314278.0,130.37,885676.0,165903,1019276.0,1332313.0,848.0,11.333894488274339,10.855184037540836,4.271374364570287,21.002796809762344,8.973731569708402,14.654608749908522,4.878017769481417,13.694107603299718,12.019164586798059,13.834604110396869,14.102427838036904,14.3515605553497,3,9
204,205,Kab. Mojokerto,Jawa Timur,Area 3,Jatim,5/299,82392,73716,73.83,1118182,717.83,924376463,12454.0,4179787.0,118.8,588987.0,149686,645787.0,784435.0,588.0,11.319255760832673,11.20798871643591,4.315218874092267,20.644629975200903,9.429877427696281,15.245771085511404,4.785823685681349,13.286161088911749,11.916301726289516,13.37822655552946,13.572720267202742,13.927215604454286,3,9
205,206,Kab. Bojonegoro,Jawa Timur,Area 3,Jatim,11/419,78047,62453,69.04,1300608,2198.79,890015652,9926.0,2016780.0,161.1,689890.0,150475,730803.0,901159.0,459.0,11.265079301015646,11.042185564743523,4.249066507417651,20.606749608176248,9.203013596589722,14.517013233946734,5.08821342874163,13.444288893080214,11.921558882016086,13.50190057692476,13.71143810129108,14.078343174276377,3,9
206,207,Kab. Jember,Jawa Timur,Area 3,Jatim,22/226,77234,31516,67.11,2537856,3092.34,1644233797,9090.0,2355662.0,247.99,1243242.0,273294,1326069.0,1668280.0,1000.0,11.254608001148352,10.35828236177716,4.221124045253227,21.220540336364483,9.115040192121858,14.672332774473318,5.517412735015677,14.033233846156952,12.518307076834791,14.097730238681491,14.327304312939974,14.74683058209149,3,9
207,208,Kota Malang,Jawa Timur,Area 3,Jatim,57/-,72773,83581,81.45,842783,145.28,810812876,16158.0,4375000.0,38.77,437737.0,607673,666177.0,666177.0,893.0,11.195114027536935,11.333583464885265,4.412192049005608,20.513547854261095,9.690232448972248,15.291417306345254,3.6831128592195994,12.989375836865447,13.31739383293962,13.40931218108026,13.40931218108026,13.644465976394045,3,9
208,209,Kab. Tuban,Jawa Timur,Area 3,Jatim,17/311,65016,55437,68.4,1196985,1834.15,982179381,10048.0,2532234.0,187.13,627296.0,525075,602120.0,730641.0,534.0,11.082404053144092,10.92302055817699,4.239886867512759,20.705284519697695,9.21522840604896,14.744612869945755,5.237133213223039,13.349175391672635,13.171298293001529,13.308213700771573,13.501678878687994,13.99531728856528,3,9
209,210,Kab. Banyumas,Jawa Tengah,Area 3,Jateng,30/301,53949,31866,71.98,1778045,1335.3,1317798068,11703.0,1900000.0,225.84,824866.0,236360,977022.0,1335264.0,819.0,10.895812970686281,10.36932627056772,4.290185431008302,20.999228051121932,9.36768594269996,14.45736497045232,5.424244923145827,13.622977440199534,12.373115576284981,13.792265472201253,14.104640331990256,14.391025566487349,3,10
210,211,Kab. Semarang,Jawa Tengah,Area 3,Jateng,27/208,49767,47226,74.1,1052067,950.21,917605364,12116.0,2229880.5,79.88,600322.0,604669,769000.0,769000.0,699.0,10.815127486194855,10.762721041922928,4.318820558770089,20.637277970536537,9.402364704231523,14.617459003010921,4.392966574712216,13.30522312268221,13.312438133653076,13.552847548877052,13.552847548877052,13.866268308974066,3,10
211,212,Kab. Sleman,Yogyakarta,Area 3,Jateng,-/86,47581,39012,83.84,1124777,574.82,947130689,15926.0,1846000.0,99.78,676334.0,815789,762571.0,909208.0,1256.0,10.770209817441788,10.571650202901903,4.440767129696482,20.66894764585251,9.675771061251782,14.428532235756597,4.612939923252452,13.424443794404919,13.611912247884117,13.544452209235336,13.720330269723675,13.93309624081454,3,10
212,213,Kab. Brebes,Jawa Tengah,Area 3,Jateng,5/292,46215,25546,66.11,1979886,1902.37,1261293035,10238.0,2810000.0,308.78,821061.0,875802,1377380.0,1377380.0,634.0,10.741081337461102,10.148275171908208,4.206333064170148,20.955403250754618,9.233959237574817,14.848695397181752,5.735862368119613,13.618353903244639,13.682896458783166,14.13569442789276,14.13569442789276,14.498550330335053,3,10
213,214,Kab. Pati,Jawa Tengah,Area 3,Jateng,5/401,43064,34189,71.77,1323161,1489.19,1131935623,10660.0,1891000.0,127.37,607706.0,126974,799372.0,963996.0,635.0,10.670465881223274,10.439688482633347,4.287303782358995,20.847194945852333,9.274347501950475,14.452616876461185,4.854916719096835,13.317448136898639,11.751745495669446,13.591582949357463,13.778843461554645,14.09553488458042,3,10
214,215,Kab. Kendal,Jawa Tengah,Area 3,Jateng,20/266,42535,43802,72.29,1017478,1118.13,921727933,11597.0,2261775.0,97.49,493062.0,547810,588347.0,728425.0,505.0,10.658106055184174,10.687457587169673,4.294424173937759,20.64176065554598,9.358587948436385,14.631660903345294,4.589955020181611,13.108392233907155,13.213685615930792,13.285073888549167,13.498641320871807,13.832838557265266,3,10
215,216,Kab. Kediri,Jawa Timur,Area 3,Jatim,1/343,41205,26174,72.05,1636421,1386.05,1176199423,10853.0,2008504.0,179.93,854801.0,182524,903495.0,1089366.0,699.0,10.626339155802404,10.172560035738737,4.291144138196708,20.885554250277377,9.29228895462335,14.512901222198341,5.198110216131005,13.658625142152983,12.114642428924286,13.71402696177717,13.901107351569102,14.308022709092695,3,9
